"reason","institution","removed_path","kept_path","removed_name","kept_name","bytes","sha256"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(게시용)제2023-2호 (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(게시용)제2023-2호.hwp","(게시용)제2023-2호 (2).hwp","(게시용)제2023-2호.hwp","83456","ffd362ebeb3d6ec5b7fe0df923e0f861a1991b09c500748cb8800030d4797283"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(게시용)제2026-3호 (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(게시용)제2026-3호.hwp","(게시용)제2026-3호 (2).hwp","(게시용)제2026-3호.hwp","409600","0fb34441bed6053b77ff1cf40ab730d597ee3e9787c32ef104d8f1d97ed8c54f"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(게시용)제2026-4호 (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(게시용)제2026-4호.hwp","(게시용)제2026-4호 (2).hwp","(게시용)제2026-4호.hwp","160768","2f2c4b2f52352c29a3d6ca5e0598bd385a39e815fb79d46c45c5bc5052f9ffd4"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(게시용)제2026-5호 (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(게시용)제2026-5호.hwp","(게시용)제2026-5호 (2).hwp","(게시용)제2026-5호.hwp","176640","76c97d171c30e10c58c5c8274c32bd280a2f004fd97520f7bef65bedbe35714f"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(제2022-7호)_게시용 (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(제2022-7호)_게시용.hwp","(제2022-7호)_게시용 (2).hwp","(제2022-7호)_게시용.hwp","161280","b2145824f3107ba0e64a74fdbc41f753a1f8b7cd829c15cc890ab328cdb758ea"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(제2022-8호)_게시용 (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\(제2022-8호)_게시용.hwp","(제2022-8호)_게시용 (2).hwp","(제2022-8호)_게시용.hwp","81408","c334559c0339f4e52f99727ef5949486392a1ed82713d4953a049ecd340fc489"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\글로벌채권 펀드 배상비율 산정기준(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\글로벌채권 펀드 배상비율 산정기준(게시용).hwp","글로벌채권 펀드 배상비율 산정기준(게시용) (2).hwp","글로벌채권 펀드 배상비율 산정기준(게시용).hwp","133632","d5a8d36559cc77d750e00a261b9cf23c94ae1bd9c60642268ffeb02dc804cccc"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\라임 국내 및 CI펀드 배상비율 산정기준(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\라임 국내 및 CI펀드 배상비율 산정기준(게시용).hwp","라임 국내 및 CI펀드 배상비율 산정기준(게시용) (2).hwp","라임 국내 및 CI펀드 배상비율 산정기준(게시용).hwp","71168","4f44dd8835df4533b7d0f1899f5d181ebecc2c68450bf113a4cff8b12e9cde02"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\아시아 무역금융 펀드 배상비율 산정기준(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\아시아 무역금융 펀드 배상비율 산정기준(게시용).hwp","아시아 무역금융 펀드 배상비율 산정기준(게시용) (2).hwp","아시아 무역금융 펀드 배상비율 산정기준(게시용).hwp","69632","2772ac28ec5beb81b82d574d6bdfa88519673890c504583654045d2151120769"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-10호(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-10호(게시용).hwp","제2022-10호(게시용) (2).hwp","제2022-10호(게시용).hwp","236032","2e2396dff4ca0860289a04e534f856cf814bde0c6440836002c3c2c7f51a4dca"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-11호(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-11호(게시용).hwp","제2022-11호(게시용) (2).hwp","제2022-11호(게시용).hwp","233984","7d42cd6441838397ee9d45f09c84d3bbc7c8d137e91712f4c91fd5dc1b7a0368"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-12호(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-12호(게시용).hwp","제2022-12호(게시용) (2).hwp","제2022-12호(게시용).hwp","228864","999a18dd254737841dec4ee5b60806e6d9c1aa67a3eb0f620ebebe31a211b093"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-13호(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-13호(게시용).hwp","제2022-13호(게시용) (2).hwp","제2022-13호(게시용).hwp","229376","ca530cae3482beab318ce6931c06afd2198336e3f240c6bb5fcca21a4e6f6d24"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-14호(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-14호(게시용).hwp","제2022-14호(게시용) (2).hwp","제2022-14호(게시용).hwp","227840","06a0e752bd849125ee05cca9666d159f149d6297e4f2a36e4d77c8dd9820cfad"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-9호(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2022-9호(게시용).hwp","제2022-9호(게시용) (2).hwp","제2022-9호(게시용).hwp","308224","cd32829d88e52d3fb12334ea17b9e2c072abc9d51c8caf9f4a8166735f0e46b9"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2023-1호(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2023-1호(게시용).hwp","제2023-1호(게시용) (2).hwp","제2023-1호(게시용).hwp","549888","b238e26e42189f004f621c53e56c0d9d6feb35945dd958fe81aaac55d12cd0a6"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2023-3호(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2023-3호(게시용).hwp","제2023-3호(게시용) (2).hwp","제2023-3호(게시용).hwp","769024","74289f3996a4158eab49c06460ad8e2bede209537a6a6b0cc3e58ebba7c43016"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2025-1호(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2025-1호(게시용).hwp","제2025-1호(게시용) (2).hwp","제2025-1호(게시용).hwp","144896","0e2d627ea9e7ce0c64088acb9494538037fdb1fc4203384de7b4a790d169f594"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2025-2호(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2025-2호(게시용).hwp","제2025-2호(게시용) (2).hwp","제2025-2호(게시용).hwp","148992","84245b812466e65afab75be2f8c381b6ae7cf07ccb069af4ac525c4f4ee5e8f8"
"exact_sha256_duplicate","금융감독원","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2025-3호(게시용) (2).hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\금융감독원\제2025-3호(게시용).hwp","제2025-3호(게시용) (2).hwp","제2025-3호(게시용).hwp","145408","74b6e96d64b5a8956a3e55fec7d153b09100444d14e5268392f1b3dd9510585b"
